,_time,_measurement,co2,humidity,temperature
0,2024-01-09 23:02:10.217562+00:00,08B7,529.0,19.4,22.8
1,2024-01-09 23:02:41.223878+00:00,08B7,528.0,19.4,22.8
2,2024-01-09 23:03:12.242536+00:00,08B7,526.0,19.5,22.8
3,2024-01-09 23:03:43.258774+00:00,08B7,525.0,19.5,22.8
4,2024-01-09 23:04:14.925667+00:00,08B7,525.0,19.4,22.8
5,2024-01-09 23:04:45.303587+00:00,08B7,526.0,19.4,22.8
6,2024-01-09 23:05:16.321609+00:00,08B7,525.0,19.4,22.8
7,2024-01-09 23:05:47.331866+00:00,08B7,526.0,19.4,22.8
8,2024-01-09 23:06:18.349419+00:00,08B7,526.0,19.3,22.9
9,2024-01-09 23:06:49.369134+00:00,08B7,525.0,19.3,22.9
10,2024-01-09 23:07:20.366868+00:00,08B7,526.0,19.3,22.9
11,2024-01-09 23:07:51.379447+00:00,08B7,527.0,19.3,22.9
12,2024-01-09 23:08:22.393265+00:00,08B7,530.0,19.3,22.9
13,2024-01-09 23:08:53.414579+00:00,08B7,530.0,19.3,22.9
14,2024-01-09 23:09:24.437553+00:00,08B7,530.0,19.3,22.9
15,2024-01-09 23:09:55.455394+00:00,08B7,530.0,19.3,22.9
16,2024-01-09 23:10:26.472418+00:00,08B7,529.0,19.3,22.9
17,2024-01-09 23:10:57.495518+00:00,08B7,529.0,19.3,22.9
18,2024-01-09 23:11:28.522207+00:00,08B7,530.0,19.3,22.9
19,2024-01-09 23:11:59.548195+00:00,08B7,531.0,19.3,22.9
20,2024-01-09 23:12:30.567720+00:00,08B7,532.0,19.3,22.9
21,2024-01-09 23:13:01.573115+00:00,08B7,530.0,19.3,23.0
22,2024-01-09 23:13:32.589601+00:00,08B7,530.0,19.3,23.0
23,2024-01-09 23:14:03.611877+00:00,08B7,530.0,19.3,23.0
24,2024-01-09 23:14:34.628662+00:00,08B7,530.0,19.2,23.0
25,2024-01-09 23:15:05.649067+00:00,08B7,530.0,19.2,23.0
26,2024-01-09 23:15:36.674120+00:00,08B7,529.0,19.2,23.0
27,2024-01-09 23:16:07.732592+00:00,08B7,528.0,19.2,23.0
28,2024-01-09 23:16:38.729675+00:00,08B7,529.0,19.3,23.0
29,2024-01-09 23:17:09.751152+00:00,08B7,529.0,19.2,23.0
30,2024-01-09 23:17:40.772726+00:00,08B7,527.0,19.2,23.0
31,2024-01-09 23:18:11.803411+00:00,08B7,527.0,19.2,23.0
32,2024-01-09 23:18:42.870944+00:00,08B7,527.0,19.2,23.1
33,2024-01-09 23:19:13.877726+00:00,08B7,527.0,19.2,23.1
34,2024-01-09 23:19:44.871660+00:00,08B7,528.0,19.2,23.1
35,2024-01-09 23:20:15.901857+00:00,08B7,527.0,19.2,23.1
36,2024-01-09 23:20:46.886563+00:00,08B7,527.0,19.2,23.1
37,2024-01-09 23:21:17.881497+00:00,08B7,526.0,19.2,23.1
38,2024-01-09 23:21:48.901401+00:00,08B7,526.0,19.2,23.1
39,2024-01-09 23:22:19.948593+00:00,08B7,526.0,19.2,23.1
40,2024-01-09 23:22:50.924198+00:00,08B7,528.0,19.3,23.1
41,2024-01-09 23:23:21.940995+00:00,08B7,528.0,19.2,23.1
42,2024-01-09 23:23:52.956216+00:00,08B7,530.0,19.3,23.1
43,2024-01-09 23:24:23.980408+00:00,08B7,530.0,19.2,23.1
44,2024-01-09 23:24:55.169825+00:00,08B7,531.0,19.2,23.2
45,2024-01-09 23:25:26.227713+00:00,08B7,531.0,19.2,23.2
46,2024-01-09 23:25:57.101803+00:00,08B7,529.0,19.2,23.2
47,2024-01-09 23:26:28.094264+00:00,08B7,526.0,19.2,23.2
48,2024-01-09 23:26:59.121778+00:00,08B7,526.0,19.2,23.2
49,2024-01-09 23:27:30.090689+00:00,08B7,528.0,19.2,23.2
50,2024-01-09 23:28:01.254479+00:00,08B7,526.0,19.2,23.2
51,2024-01-09 23:28:32.124592+00:00,08B7,525.0,19.2,23.2
52,2024-01-09 23:29:03.178941+00:00,08B7,527.0,19.2,23.2
53,2024-01-09 23:29:34.175193+00:00,08B7,528.0,19.3,23.2
54,2024-01-09 23:30:05.874681+00:00,08B7,528.0,19.2,23.3
55,2024-01-09 23:30:36.181668+00:00,08B7,528.0,19.3,23.3
56,2024-01-09 23:31:07.196180+00:00,08B7,528.0,19.4,23.3
57,2024-01-09 23:31:38.214229+00:00,08B7,528.0,19.4,23.3
58,2024-01-09 23:32:09.973350+00:00,08B7,528.0,19.5,23.4
59,2024-01-09 23:32:40.238143+00:00,08B7,527.0,19.6,23.4
60,2024-01-09 23:33:11.232019+00:00,08B7,529.0,19.6,23.4
61,2024-01-09 23:33:42.267482+00:00,08B7,530.0,19.6,23.5
62,2024-01-09 23:34:13.255234+00:00,08B7,529.0,19.6,23.5
63,2024-01-09 23:34:44.263148+00:00,08B7,529.0,19.7,23.5
64,2024-01-09 23:35:15.305184+00:00,08B7,530.0,19.7,23.5
65,2024-01-09 23:35:46.315963+00:00,08B7,530.0,19.7,23.6
66,2024-01-09 23:36:17.312124+00:00,08B7,529.0,19.7,23.6
67,2024-01-09 23:36:48.323458+00:00,08B7,534.0,19.7,23.6
68,2024-01-09 23:37:19.324394+00:00,08B7,536.0,19.7,23.7
69,2024-01-09 23:37:50.315981+00:00,08B7,534.0,19.8,23.7
70,2024-01-09 23:38:21.298615+00:00,08B7,534.0,19.8,23.7
71,2024-01-09 23:38:52.321870+00:00,08B7,534.0,19.8,23.7
72,2024-01-09 23:39:23.312167+00:00,08B7,535.0,19.8,23.8
73,2024-01-09 23:39:54.333949+00:00,08B7,535.0,19.8,23.8
74,2024-01-09 23:40:25.940661+00:00,08B7,536.0,19.8,23.8
75,2024-01-09 23:40:56.335483+00:00,08B7,536.0,19.8,23.8
76,2024-01-09 23:41:27.348474+00:00,08B7,538.0,19.8,23.9
77,2024-01-09 23:41:58.360161+00:00,08B7,538.0,19.8,23.9
78,2024-01-09 23:42:29.377753+00:00,08B7,538.0,19.8,23.9
79,2024-01-09 23:43:00.422406+00:00,08B7,540.0,19.8,23.9
80,2024-01-09 23:43:31.452946+00:00,08B7,540.0,19.8,24.0
81,2024-01-09 23:44:02.375098+00:00,08B7,540.0,19.8,24.0
82,2024-01-09 23:44:33.374901+00:00,08B7,539.0,19.8,24.0
83,2024-01-09 23:45:04.365364+00:00,08B7,538.0,19.8,24.0
84,2024-01-09 23:45:35.379272+00:00,08B7,538.0,19.8,24.1
85,2024-01-09 23:46:06.410811+00:00,08B7,538.0,19.8,24.1
86,2024-01-09 23:46:37.407294+00:00,08B7,539.0,19.8,24.1
87,2024-01-09 23:47:08.435296+00:00,08B7,539.0,19.8,24.1
88,2024-01-09 23:47:39.480273+00:00,08B7,540.0,19.8,24.2
89,2024-01-09 23:48:10.402522+00:00,08B7,542.0,19.8,24.2
90,2024-01-09 23:48:41.412671+00:00,08B7,542.0,19.8,24.2
91,2024-01-09 23:49:12.441938+00:00,08B7,541.0,19.7,24.2
92,2024-01-09 23:49:43.484481+00:00,08B7,541.0,19.8,24.3
93,2024-01-09 23:50:15.970406+00:00,08B7,540.0,19.7,24.3
94,2024-01-09 23:50:45.975562+00:00,08B7,540.0,19.7,24.3
95,2024-01-09 23:51:16.462415+00:00,08B7,539.0,19.7,24.3
96,2024-01-09 23:51:47.457043+00:00,08B7,539.0,19.7,24.4
97,2024-01-09 23:52:18.452178+00:00,08B7,538.0,19.7,24.4
98,2024-01-09 23:52:49.444341+00:00,08B7,539.0,19.7,24.4
99,2024-01-09 23:53:20.455854+00:00,08B7,536.0,19.7,24.4
100,2024-01-09 23:53:51.441841+00:00,08B7,537.0,19.7,24.5
101,2024-01-09 23:54:22.438581+00:00,08B7,536.0,19.7,24.5
102,2024-01-09 23:54:53.441336+00:00,08B7,535.0,19.7,24.5
103,2024-01-09 23:55:24.483507+00:00,08B7,537.0,19.6,24.5
104,2024-01-09 23:55:55.418557+00:00,08B7,538.0,19.7,24.5
105,2024-01-09 23:56:26.421123+00:00,08B7,537.0,19.6,24.6
106,2024-01-09 23:56:57.449191+00:00,08B7,539.0,19.6,24.6
107,2024-01-09 23:57:28.472989+00:00,08B7,539.0,19.6,24.6
108,2024-01-09 23:57:59.496339+00:00,08B7,539.0,19.6,24.6
109,2024-01-09 23:58:30.462971+00:00,08B7,539.0,19.6,24.7
110,2024-01-09 23:59:01.466123+00:00,08B7,541.0,19.6,24.7
111,2024-01-09 23:59:32.485355+00:00,08B7,542.0,19.6,24.7
112,2024-01-10 00:00:03.538216+00:00,08B7,541.0,19.6,24.7
113,2024-01-10 00:00:34.474469+00:00,08B7,542.0,19.6,24.7
114,2024-01-10 00:01:05.466963+00:00,08B7,543.0,19.6,24.8
115,2024-01-10 00:01:36.516566+00:00,08B7,544.0,19.6,24.8
116,2024-01-10 00:02:07.480657+00:00,08B7,545.0,19.5,24.8
117,2024-01-10 00:02:38.456345+00:00,08B7,544.0,19.5,24.8
118,2024-01-10 00:03:09.493060+00:00,08B7,544.0,19.5,24.8
119,2024-01-10 00:03:40.431637+00:00,08B7,542.0,19.5,24.9
120,2024-01-10 00:04:11.425777+00:00,08B7,542.0,19.5,24.9
121,2024-01-10 00:04:42.425066+00:00,08B7,544.0,19.6,24.9
122,2024-01-10 00:05:13.411294+00:00,08B7,546.0,19.6,24.9
123,2024-01-10 00:05:44.427103+00:00,08B7,549.0,19.5,24.9
124,2024-01-10 00:06:15.405197+00:00,08B7,549.0,19.5,25.0
125,2024-01-10 00:06:46.380753+00:00,08B7,549.0,19.5,25.0
126,2024-01-10 00:07:17.380078+00:00,08B7,550.0,19.5,25.0
127,2024-01-10 00:07:48.427963+00:00,08B7,548.0,19.5,25.0
128,2024-01-10 00:08:19.379111+00:00,08B7,548.0,19.5,25.0
129,2024-01-10 00:08:50.383543+00:00,08B7,549.0,19.5,25.0
130,2024-01-10 00:09:21.391144+00:00,08B7,552.0,19.5,25.1
131,2024-01-10 00:09:52.341363+00:00,08B7,554.0,19.5,25.1
132,2024-01-10 00:10:23.480729+00:00,08B7,556.0,19.5,25.1
133,2024-01-10 00:10:54.270664+00:00,08B7,557.0,19.5,25.1
134,2024-01-10 00:11:25.234031+00:00,08B7,558.0,19.5,25.2
135,2024-01-10 00:11:56.244270+00:00,08B7,558.0,19.5,25.2
136,2024-01-10 00:12:27.215705+00:00,08B7,558.0,19.5,25.2
137,2024-01-10 00:12:58.314652+00:00,08B7,559.0,19.5,25.2
138,2024-01-10 00:13:29.142986+00:00,08B7,560.0,19.6,25.3
139,2024-01-10 00:14:00.162376+00:00,08B7,563.0,19.5,25.3
140,2024-01-10 00:14:31.084951+00:00,08B7,564.0,19.6,25.3
141,2024-01-10 00:15:02.270034+00:00,08B7,567.0,19.6,25.3
142,2024-01-10 00:15:33.245436+00:00,08B7,570.0,19.6,25.3
143,2024-01-10 00:16:05.262038+00:00,08B7,572.0,19.7,25.3
144,2024-01-10 00:16:35.194609+00:00,08B7,580.0,19.9,25.4
145,2024-01-10 00:17:05.917720+00:00,08B7,592.0,19.8,25.4
146,2024-01-10 00:17:36.957530+00:00,08B7,597.0,19.8,25.4
147,2024-01-10 00:18:07.971087+00:00,08B7,600.0,19.8,25.4
148,2024-01-10 00:18:38.906762+00:00,08B7,607.0,19.9,25.4
149,2024-01-10 00:19:09.787806+00:00,08B7,611.0,20.0,25.5
150,2024-01-10 00:19:40.955620+00:00,08B7,613.0,20.0,25.5
151,2024-01-10 00:20:11.679524+00:00,08B7,617.0,20.0,25.5
152,2024-01-10 00:20:42.662394+00:00,08B7,619.0,20.0,25.5
153,2024-01-10 00:21:13.643421+00:00,08B7,622.0,20.1,25.6
154,2024-01-10 00:21:44.656825+00:00,08B7,624.0,20.2,25.6
155,2024-01-10 00:22:15.583413+00:00,08B7,624.0,20.2,25.6
156,2024-01-10 00:22:46.557915+00:00,08B7,625.0,20.2,25.6
157,2024-01-10 00:23:17.583722+00:00,08B7,628.0,20.3,25.6
158,2024-01-10 00:23:48.556194+00:00,08B7,631.0,20.4,25.7
159,2024-01-10 00:24:20.197385+00:00,08B7,638.0,20.4,25.7
160,2024-01-10 00:24:50.443209+00:00,08B7,643.0,20.4,25.7
161,2024-01-10 00:25:21.465838+00:00,08B7,647.0,20.4,25.7
162,2024-01-10 00:25:52.384878+00:00,08B7,657.0,20.5,25.8
163,2024-01-10 00:26:23.381095+00:00,08B7,662.0,20.5,25.8
164,2024-01-10 00:26:54.335782+00:00,08B7,669.0,20.5,25.8
165,2024-01-10 00:27:25.274610+00:00,08B7,673.0,20.4,25.8
166,2024-01-10 00:27:56.274862+00:00,08B7,675.0,20.5,25.8
167,2024-01-10 00:28:27.193980+00:00,08B7,678.0,20.6,25.9
168,2024-01-10 00:28:58.214488+00:00,08B7,680.0,20.6,25.9
169,2024-01-10 00:29:29.163060+00:00,08B7,683.0,20.6,25.9
170,2024-01-10 00:30:00.097499+00:00,08B7,682.0,20.5,25.9
171,2024-01-10 00:30:31.059645+00:00,08B7,683.0,20.6,25.9
172,2024-01-10 00:31:02.015595+00:00,08B7,685.0,20.6,26.0
173,2024-01-10 00:31:32.968423+00:00,08B7,688.0,20.6,26.0
174,2024-01-10 00:32:03.920625+00:00,08B7,691.0,20.6,26.0
175,2024-01-10 00:32:34.892527+00:00,08B7,694.0,20.6,26.0
176,2024-01-10 00:33:05.829536+00:00,08B7,696.0,20.6,26.0
177,2024-01-10 00:33:36.800319+00:00,08B7,699.0,20.7,26.1
178,2024-01-10 00:34:07.873839+00:00,08B7,701.0,20.7,26.1
179,2024-01-10 00:34:38.756024+00:00,08B7,703.0,20.6,26.1
180,2024-01-10 00:35:09.727943+00:00,08B7,704.0,20.7,26.1
181,2024-01-10 00:35:40.768510+00:00,08B7,706.0,20.7,26.1
182,2024-01-10 00:36:11.604485+00:00,08B7,709.0,20.7,26.1
183,2024-01-10 00:36:42.601281+00:00,08B7,708.0,20.6,26.2
184,2024-01-10 00:37:13.641735+00:00,08B7,710.0,20.7,26.2
185,2024-01-10 00:37:44.500160+00:00,08B7,711.0,20.7,26.2
186,2024-01-10 00:38:15.500222+00:00,08B7,713.0,20.7,26.2
187,2024-01-10 00:38:46.447329+00:00,08B7,716.0,20.8,26.2
188,2024-01-10 00:39:17.431017+00:00,08B7,716.0,20.7,26.2
189,2024-01-10 00:39:48.488184+00:00,08B7,715.0,20.7,26.2
