,_time,_measurement,co2,humidity,temperature
184136,2023-12-06 06:07:27.849467+00:00,8880,647.0,27.6,26.4
184137,2023-12-06 06:24:49.691547+00:00,8880,655.0,27.9,26.3
184138,2023-12-06 06:25:24.754770+00:00,8880,656.0,28.0,26.3
184139,2023-12-06 06:25:59.225986+00:00,8880,656.0,28.0,26.3
184140,2023-12-06 06:26:35.306911+00:00,8880,656.0,28.1,26.3
184141,2023-12-06 06:27:46.879761+00:00,8880,658.0,28.1,26.3
184142,2023-12-06 06:28:26.752880+00:00,8880,657.0,28.2,26.3
184143,2023-12-06 06:29:00.309753+00:00,8880,657.0,28.2,26.3
184144,2023-12-06 06:29:34.150063+00:00,8880,657.0,28.2,26.3
184145,2023-12-06 06:30:46.971077+00:00,8880,658.0,28.2,26.3
184146,2023-12-06 06:31:50.872560+00:00,8880,659.0,28.3,26.3
184147,2023-12-06 06:32:03.399909+00:00,8880,662.0,28.3,26.3
184148,2023-12-06 07:27:03.635714+00:00,8880,598.0,30.9,25.8
184149,2023-12-06 07:27:37.153203+00:00,8880,596.0,31.1,25.8
184150,2023-12-06 07:28:11.889411+00:00,8880,595.0,31.1,25.8
184151,2023-12-06 07:28:56.314475+00:00,8880,594.0,31.2,25.8
184152,2023-12-06 07:29:30.621138+00:00,8880,594.0,31.2,25.8
184153,2023-12-06 07:30:09.636462+00:00,8880,594.0,31.2,25.8
184154,2023-12-06 07:49:38.132406+00:00,8880,576.0,33.1,25.6
184155,2023-12-06 08:05:31.386758+00:00,8880,572.0,34.0,25.4
184156,2023-12-06 08:11:50.881755+00:00,8880,574.0,34.3,25.4
184157,2023-12-06 08:16:57.934696+00:00,8880,574.0,34.3,25.5
184158,2023-12-06 08:17:33.978465+00:00,8880,576.0,34.3,25.6
184159,2023-12-06 08:18:54.618393+00:00,8880,583.0,34.3,25.6
184160,2023-12-06 08:19:30.058944+00:00,8880,584.0,34.3,25.6
184161,2023-12-06 08:20:03.482708+00:00,8880,582.0,34.3,25.6
184162,2023-12-06 08:26:59.743009+00:00,8880,579.0,34.1,25.7
184163,2023-12-06 08:42:11.969867+00:00,8880,675.0,33.3,26.0
184164,2023-12-06 08:42:50.083037+00:00,8880,677.0,33.3,26.0
184165,2023-12-06 08:43:23.855406+00:00,8880,680.0,33.2,26.0
184166,2023-12-06 08:43:59.561261+00:00,8880,685.0,33.2,26.0
184167,2023-12-06 08:44:38.266568+00:00,8880,689.0,33.1,26.0
184168,2023-12-06 08:45:11.305698+00:00,8880,693.0,33.1,26.0
184169,2023-12-06 08:45:47.191159+00:00,8880,697.0,33.1,26.0
184170,2023-12-06 08:46:23.123910+00:00,8880,698.0,33.1,26.0
184171,2023-12-06 08:46:58.959474+00:00,8880,697.0,33.1,26.0
184172,2023-12-06 08:47:34.860815+00:00,8880,694.0,33.1,26.0
184173,2023-12-06 08:48:10.952066+00:00,8880,694.0,33.0,26.0
184174,2023-12-06 08:48:46.729976+00:00,8880,696.0,33.0,26.0
184175,2023-12-06 08:49:26.360259+00:00,8880,695.0,33.0,26.0
184176,2023-12-06 08:49:58.414355+00:00,8880,697.0,33.0,26.0
184177,2023-12-06 08:50:34.310805+00:00,8880,698.0,32.9,26.0
184178,2023-12-06 08:51:10.156801+00:00,8880,699.0,33.0,26.0
184179,2023-12-06 08:52:21.934166+00:00,8880,697.0,33.0,26.0
184180,2023-12-06 08:52:57.770479+00:00,8880,700.0,33.1,26.0
184181,2023-12-06 09:05:00.926924+00:00,8880,610.0,33.0,26.0
184182,2023-12-06 09:05:36.671605+00:00,8880,610.0,33.0,25.9
184183,2023-12-06 09:06:12.542570+00:00,8880,613.0,33.1,25.9
184184,2023-12-06 09:09:30.134110+00:00,8880,609.0,33.3,25.9
184185,2023-12-06 09:10:05.869067+00:00,8880,607.0,33.4,25.8
184186,2023-12-06 09:10:50.559321+00:00,8880,606.0,33.4,25.8
184187,2023-12-06 09:11:17.495305+00:00,8880,604.0,33.4,25.8
184188,2023-12-06 09:11:53.386798+00:00,8880,601.0,33.5,25.8
184189,2023-12-06 09:12:29.472576+00:00,8880,599.0,33.5,25.8
184190,2023-12-06 09:13:14.092539+00:00,8880,597.0,33.6,25.8
184191,2023-12-06 09:13:47.030151+00:00,8880,596.0,33.6,25.8
184192,2023-12-06 09:14:41.164169+00:00,8880,593.0,33.7,25.8
184193,2023-12-06 09:16:18.443677+00:00,8880,589.0,33.8,25.7
184194,2023-12-06 09:18:44.636538+00:00,8880,582.0,33.9,25.7
184195,2023-12-06 09:21:55.453274+00:00,8880,572.0,33.8,25.6
184196,2023-12-06 09:35:13.560054+00:00,8880,560.0,34.2,25.5
184197,2023-12-06 09:35:49.317937+00:00,8880,561.0,34.3,25.5
184198,2023-12-06 09:36:26.049564+00:00,8880,561.0,34.3,25.5
184199,2023-12-06 09:54:07.443886+00:00,8880,560.0,35.0,25.4
184200,2023-12-06 09:54:42.889386+00:00,8880,560.0,35.0,25.4
184201,2023-12-06 09:55:22.400283+00:00,8880,560.0,35.0,25.4
184202,2023-12-06 09:55:54.872720+00:00,8880,561.0,35.0,25.4
184203,2023-12-06 09:56:51.376696+00:00,8880,561.0,35.1,25.4
184204,2023-12-06 09:57:52.506188+00:00,8880,559.0,35.1,25.4
184205,2023-12-06 09:58:32.009559+00:00,8880,561.0,35.1,25.4
184206,2023-12-06 10:03:15.049964+00:00,8880,572.0,35.2,25.4
184207,2023-12-06 10:03:50.986970+00:00,8880,573.0,35.1,25.5
184208,2023-12-06 10:04:27.682984+00:00,8880,574.0,35.1,25.5
184209,2023-12-06 10:05:02.669656+00:00,8880,574.0,35.1,25.5
184210,2023-12-06 10:05:39.227129+00:00,8880,575.0,35.1,25.5
184211,2023-12-06 10:06:14.490906+00:00,8880,575.0,35.1,25.5
184212,2023-12-06 10:06:50.427369+00:00,8880,576.0,35.1,25.5
184213,2023-12-06 10:07:26.481132+00:00,8880,575.0,35.1,25.5
184214,2023-12-06 10:08:02.278099+00:00,8880,574.0,35.2,25.5
184215,2023-12-06 10:08:38.205488+00:00,8880,572.0,35.1,25.5
184216,2023-12-06 10:09:14.152425+00:00,8880,571.0,35.2,25.5
184217,2023-12-06 10:09:50.029974+00:00,8880,570.0,35.1,25.5
184218,2023-12-06 10:10:29.395116+00:00,8880,568.0,35.2,25.5
184219,2023-12-06 10:11:01.818915+00:00,8880,568.0,35.2,25.5
184220,2023-12-06 10:11:37.830100+00:00,8880,568.0,35.2,25.6
184221,2023-12-06 10:12:13.676310+00:00,8880,563.0,35.2,25.6
184222,2023-12-06 10:12:49.669112+00:00,8880,561.0,35.2,25.6
184223,2023-12-06 10:13:25.502366+00:00,8880,562.0,35.2,25.6
184224,2023-12-06 10:14:01.598390+00:00,8880,562.0,35.2,25.6
184225,2023-12-06 10:14:37.245707+00:00,8880,560.0,35.2,25.6
184226,2023-12-06 10:15:13.126640+00:00,8880,561.0,35.2,25.6
184227,2023-12-06 10:15:49.116015+00:00,8880,558.0,35.2,25.6
184228,2023-12-06 10:16:34.307988+00:00,8880,558.0,35.2,25.6
184229,2023-12-06 10:17:00.909256+00:00,8880,558.0,35.2,25.6
184230,2023-12-06 10:17:36.747265+00:00,8880,560.0,35.2,25.6
184231,2023-12-06 10:18:15.664785+00:00,8880,562.0,35.2,25.6
184232,2023-12-06 10:18:48.533230+00:00,8880,561.0,35.2,25.6
184233,2023-12-06 10:19:24.479113+00:00,8880,560.0,35.2,25.6
184234,2023-12-06 10:20:01.598429+00:00,8880,561.0,35.2,25.6
184235,2023-12-06 10:20:36.071800+00:00,8880,562.0,35.3,25.6
184236,2023-12-06 10:21:11.940137+00:00,8880,563.0,35.3,25.6
184237,2023-12-06 10:21:48.454225+00:00,8880,561.0,35.3,25.6
184238,2023-12-06 10:22:23.695749+00:00,8880,564.0,35.3,25.6
184239,2023-12-06 10:22:59.536224+00:00,8880,563.0,35.3,25.6
184240,2023-12-06 10:23:35.402875+00:00,8880,561.0,35.3,25.6
184241,2023-12-06 10:24:11.319528+00:00,8880,559.0,35.3,25.6
184242,2023-12-06 10:24:47.162296+00:00,8880,556.0,35.4,25.6
184243,2023-12-06 10:25:24.267574+00:00,8880,556.0,35.4,25.6
184244,2023-12-06 10:25:58.836798+00:00,8880,554.0,35.4,25.6
184245,2023-12-06 10:26:34.686632+00:00,8880,554.0,35.4,25.6
184246,2023-12-06 10:27:10.593052+00:00,8880,552.0,35.4,25.6
184247,2023-12-06 10:27:46.666681+00:00,8880,551.0,35.4,25.6
184248,2023-12-06 10:28:58.181327+00:00,8880,548.0,35.5,25.6
184249,2023-12-06 10:29:34.074155+00:00,8880,547.0,35.5,25.5
184250,2023-12-06 10:30:09.963004+00:00,8880,545.0,35.5,25.5
184251,2023-12-06 10:30:45.904405+00:00,8880,544.0,35.6,25.6
184252,2023-12-06 10:31:23.657406+00:00,8880,544.0,35.6,25.5
184253,2023-12-06 10:31:57.693154+00:00,8880,542.0,35.6,25.5
184254,2023-12-06 10:32:33.599046+00:00,8880,540.0,35.7,25.5
184255,2023-12-06 10:33:09.503015+00:00,8880,540.0,35.7,25.5
184256,2023-12-06 10:51:45.102553+00:00,8880,539.0,35.9,25.2
184257,2023-12-06 10:54:32.310628+00:00,8880,533.0,35.9,25.3
184258,2023-12-06 10:55:00.999905+00:00,8880,532.0,35.9,25.3
184259,2023-12-06 11:12:21.266424+00:00,8880,541.0,35.7,25.2
184260,2023-12-06 11:12:57.188319+00:00,8880,543.0,35.7,25.2
184261,2023-12-06 11:13:33.052255+00:00,8880,544.0,35.7,25.2
184262,2023-12-06 11:14:08.956418+00:00,8880,544.0,35.7,25.2
184263,2023-12-06 11:14:44.843269+00:00,8880,545.0,35.8,25.2
184264,2023-12-06 11:15:21.001289+00:00,8880,547.0,35.8,25.2
184265,2023-12-06 11:16:00.108960+00:00,8880,548.0,35.8,25.2
184266,2023-12-06 11:16:32.553555+00:00,8880,548.0,35.8,25.2
184267,2023-12-06 11:17:08.551951+00:00,8880,546.0,35.9,25.2
184268,2023-12-06 11:17:44.359392+00:00,8880,546.0,35.9,25.2
184269,2023-12-06 11:18:22.232319+00:00,8880,548.0,35.9,25.2
184270,2023-12-06 11:18:56.152956+00:00,8880,549.0,35.9,25.2
184271,2023-12-06 11:19:32.075455+00:00,8880,550.0,35.9,25.2
184272,2023-12-06 11:20:07.949305+00:00,8880,548.0,36.0,25.2
184273,2023-12-06 11:20:43.849574+00:00,8880,547.0,36.0,25.2
184274,2023-12-06 11:21:19.790957+00:00,8880,546.0,36.0,25.1
184275,2023-12-06 11:22:54.436185+00:00,8880,547.0,36.1,25.1
184276,2023-12-06 11:23:25.444414+00:00,8880,547.0,36.1,25.1
184277,2023-12-06 11:24:01.377756+00:00,8880,548.0,36.1,25.1
184278,2023-12-06 11:24:37.197720+00:00,8880,550.0,36.1,25.1
184279,2023-12-06 11:33:35.885652+00:00,8880,543.0,36.4,25.0
184280,2023-12-06 11:34:11.833623+00:00,8880,542.0,36.4,25.1
184281,2023-12-06 11:34:47.718403+00:00,8880,541.0,36.5,25.0
184282,2023-12-06 11:35:23.736847+00:00,8880,542.0,36.5,25.0
184283,2023-12-06 11:37:23.480374+00:00,8880,539.0,36.5,25.0
184284,2023-12-06 11:38:19.282790+00:00,8880,538.0,36.5,25.0
184285,2023-12-06 11:38:53.794884+00:00,8880,540.0,36.5,25.0
184286,2023-12-06 11:39:17.641308+00:00,8880,542.0,36.5,25.0
184287,2023-12-06 11:41:45.564760+00:00,8880,540.0,36.6,25.0
184288,2023-12-06 11:43:38.615388+00:00,8880,540.0,36.7,25.0
184289,2023-12-06 11:44:00.837523+00:00,8880,536.0,36.7,25.0
184290,2023-12-06 11:44:28.995992+00:00,8880,533.0,36.7,25.0
184291,2023-12-06 11:45:04.611451+00:00,8880,531.0,36.7,25.0
184292,2023-12-06 11:45:40.875890+00:00,8880,533.0,36.7,25.0
184293,2023-12-06 11:46:16.831905+00:00,8880,533.0,36.7,25.0
184294,2023-12-06 11:46:52.412620+00:00,8880,534.0,36.8,25.0
184295,2023-12-06 11:47:28.326786+00:00,8880,534.0,36.8,25.0
184296,2023-12-06 11:48:04.125275+00:00,8880,534.0,36.8,25.0
184297,2023-12-06 11:48:40.136551+00:00,8880,533.0,36.8,25.0
184298,2023-12-06 11:50:28.102747+00:00,8880,534.0,36.8,25.0
184299,2023-12-06 11:51:03.725650+00:00,8880,534.0,36.8,25.0
184300,2023-12-06 11:51:39.690039+00:00,8880,533.0,36.9,25.0
184301,2023-12-06 11:52:15.601970+00:00,8880,534.0,36.9,25.0
184302,2023-12-06 11:52:51.485217+00:00,8880,537.0,36.9,25.0
184303,2023-12-06 11:54:03.405248+00:00,8880,539.0,36.9,25.0
184304,2023-12-06 11:54:41.638963+00:00,8880,537.0,36.9,25.0
184305,2023-12-06 11:55:15.319585+00:00,8880,534.0,37.0,25.0
184306,2023-12-06 11:55:51.304591+00:00,8880,535.0,37.0,25.0
184307,2023-12-06 11:56:31.546971+00:00,8880,534.0,37.0,25.0
184308,2023-12-06 11:57:09.597039+00:00,8880,532.0,37.0,25.0
184309,2023-12-06 11:57:38.984004+00:00,8880,531.0,37.0,25.0
184310,2023-12-06 11:58:14.925154+00:00,8880,530.0,37.0,25.0
184311,2023-12-06 12:06:37.527881+00:00,8880,536.0,37.2,24.9
184312,2023-12-06 12:07:15.214934+00:00,8880,537.0,37.2,24.9
184313,2023-12-06 12:07:49.293370+00:00,8880,537.0,37.3,24.9
184314,2023-12-06 12:09:19.335363+00:00,8880,536.0,37.3,24.9
184315,2023-12-06 12:09:49.101893+00:00,8880,538.0,37.3,24.9
184316,2023-12-06 12:10:29.872479+00:00,8880,537.0,37.3,24.9
184317,2023-12-06 12:11:02.738251+00:00,8880,535.0,37.3,24.9
184318,2023-12-06 12:11:36.626594+00:00,8880,535.0,37.3,24.9
184319,2023-12-06 12:12:12.926929+00:00,8880,535.0,37.3,24.9
184320,2023-12-06 12:12:48.406340+00:00,8880,534.0,37.3,24.9
184321,2023-12-06 12:13:34.670748+00:00,8880,533.0,37.3,24.9
184322,2023-12-06 12:14:14.377005+00:00,8880,533.0,37.3,24.9
184323,2023-12-06 12:14:36.141608+00:00,8880,534.0,37.3,24.9
184324,2023-12-06 12:15:11.921245+00:00,8880,533.0,37.3,24.9
184325,2023-12-06 12:15:58.357395+00:00,8880,533.0,37.3,24.9
184326,2023-12-06 12:16:23.705355+00:00,8880,534.0,37.3,24.9
184327,2023-12-06 12:16:59.552117+00:00,8880,534.0,37.4,24.9
184328,2023-12-06 12:17:35.441441+00:00,8880,533.0,37.4,24.9
184329,2023-12-06 12:18:20.347252+00:00,8880,533.0,37.3,24.9
184330,2023-12-06 12:18:54.636751+00:00,8880,536.0,37.0,24.9
184331,2023-12-06 12:19:33.469611+00:00,8880,543.0,36.9,24.9
184332,2023-12-06 12:20:05.054226+00:00,8880,555.0,37.0,24.9
184333,2023-12-06 12:20:40.781711+00:00,8880,550.0,37.0,24.9
184334,2023-12-06 12:21:16.625856+00:00,8880,550.0,37.0,25.0
184335,2023-12-06 12:22:28.457187+00:00,8880,548.0,37.1,25.0
184336,2023-12-06 12:23:04.278395+00:00,8880,546.0,37.0,25.0
184337,2023-12-06 12:23:40.320716+00:00,8880,547.0,37.0,25.0
184338,2023-12-06 12:24:16.080540+00:00,8880,548.0,36.7,25.0
184339,2023-12-06 12:25:00.395692+00:00,8880,552.0,36.7,25.0
