,_time,_measurement,co2,humidity,temperature
0,2023-12-12 04:26:02.864149+00:00,08B7,732.0,39.6,25.0
1,2023-12-12 04:26:33.743531+00:00,08B7,731.0,39.6,25.0
2,2023-12-12 04:27:04.703223+00:00,08B7,728.0,39.6,25.0
3,2023-12-12 04:27:35.727705+00:00,08B7,726.0,39.6,25.0
4,2023-12-12 04:28:06.691895+00:00,08B7,726.0,39.6,25.0
5,2023-12-12 04:28:37.588189+00:00,08B7,728.0,39.8,25.0
6,2023-12-12 04:29:08.572764+00:00,08B7,728.0,39.7,25.0
7,2023-12-12 04:29:39.534199+00:00,08B7,727.0,39.5,25.0
8,2023-12-12 04:30:10.457736+00:00,08B7,727.0,39.5,25.0
9,2023-12-12 04:30:41.388307+00:00,08B7,724.0,39.4,25.0
10,2023-12-12 04:31:12.413343+00:00,08B7,726.0,39.4,25.0
11,2023-12-12 04:31:43.816142+00:00,08B7,727.0,39.5,25.1
12,2023-12-12 04:32:15.044234+00:00,08B7,728.0,39.4,25.1
13,2023-12-12 04:32:45.249811+00:00,08B7,727.0,39.4,25.1
14,2023-12-12 04:33:16.288563+00:00,08B7,727.0,39.3,25.1
15,2023-12-12 04:33:47.239756+00:00,08B7,727.0,39.4,25.1
16,2023-12-12 04:34:18.133719+00:00,08B7,727.0,39.5,25.1
17,2023-12-12 04:34:49.092195+00:00,08B7,727.0,39.4,25.1
18,2023-12-12 04:35:20.017611+00:00,08B7,727.0,39.4,25.1
19,2023-12-12 04:35:51.016587+00:00,08B7,727.0,39.5,25.1
20,2023-12-12 04:36:21.984967+00:00,08B7,728.0,39.3,25.2
21,2023-12-12 04:36:52.899102+00:00,08B7,727.0,39.2,25.2
22,2023-12-12 04:37:23.820301+00:00,08B7,727.0,39.3,25.2
23,2023-12-12 04:37:54.819158+00:00,08B7,726.0,39.3,25.2
24,2023-12-12 04:38:25.730107+00:00,08B7,724.0,39.3,25.2
25,2023-12-12 04:38:56.666160+00:00,08B7,721.0,39.2,25.2
26,2023-12-12 04:39:27.637224+00:00,08B7,721.0,39.2,25.2
27,2023-12-12 04:39:58.616596+00:00,08B7,718.0,39.2,25.2
28,2023-12-12 04:40:29.522616+00:00,08B7,715.0,39.0,25.2
29,2023-12-12 04:41:00.615280+00:00,08B7,716.0,39.0,25.2
30,2023-12-12 04:41:31.428102+00:00,08B7,714.0,39.0,25.2
31,2023-12-12 04:42:02.424199+00:00,08B7,712.0,39.0,25.2
32,2023-12-12 04:42:33.323988+00:00,08B7,712.0,38.9,25.2
33,2023-12-12 04:43:04.276764+00:00,08B7,711.0,39.0,25.2
34,2023-12-12 04:43:35.340819+00:00,08B7,709.0,39.0,25.2
35,2023-12-12 04:44:06.371245+00:00,08B7,707.0,38.9,25.2
36,2023-12-12 04:44:37.195605+00:00,08B7,705.0,38.9,25.2
37,2023-12-12 04:45:08.227635+00:00,08B7,703.0,39.0,25.2
38,2023-12-12 04:45:39.155718+00:00,08B7,700.0,39.0,25.2
39,2023-12-12 04:46:10.069293+00:00,08B7,698.0,39.0,25.2
40,2023-12-12 04:46:41.001558+00:00,08B7,698.0,39.1,25.2
41,2023-12-12 04:47:11.947633+00:00,08B7,699.0,39.0,25.2
42,2023-12-12 04:47:42.945072+00:00,08B7,698.0,39.0,25.2
43,2023-12-12 04:48:13.825350+00:00,08B7,698.0,39.0,25.2
44,2023-12-12 04:48:44.809250+00:00,08B7,698.0,39.1,25.2
45,2023-12-12 04:49:15.816840+00:00,08B7,699.0,39.2,25.2
46,2023-12-12 04:49:46.758864+00:00,08B7,700.0,39.1,25.2
47,2023-12-12 04:50:17.663755+00:00,08B7,702.0,39.2,25.2
48,2023-12-12 04:50:48.601804+00:00,08B7,700.0,39.1,25.2
49,2023-12-12 04:51:19.582338+00:00,08B7,699.0,39.1,25.2
50,2023-12-12 04:51:50.552339+00:00,08B7,698.0,39.3,25.2
51,2023-12-12 04:52:21.542381+00:00,08B7,698.0,39.1,25.2
52,2023-12-12 04:52:52.496936+00:00,08B7,699.0,39.1,25.2
53,2023-12-12 04:53:23.491864+00:00,08B7,700.0,39.0,25.3
54,2023-12-12 04:53:54.455380+00:00,08B7,701.0,39.1,25.3
55,2023-12-12 04:54:25.348759+00:00,08B7,700.0,39.1,25.3
56,2023-12-12 04:54:56.304927+00:00,08B7,699.0,39.0,25.3
57,2023-12-12 04:55:27.245293+00:00,08B7,698.0,39.0,25.3
58,2023-12-12 04:55:58.266940+00:00,08B7,698.0,39.0,25.3
59,2023-12-12 04:56:29.145896+00:00,08B7,698.0,39.0,25.3
60,2023-12-12 04:57:01.556640+00:00,08B7,694.0,39.0,25.3
61,2023-12-12 04:57:31.243008+00:00,08B7,692.0,39.0,25.3
62,2023-12-12 04:58:02.070704+00:00,08B7,689.0,39.1,25.3
63,2023-12-12 04:58:32.991058+00:00,08B7,688.0,39.0,25.3
64,2023-12-12 04:59:03.926696+00:00,08B7,687.0,39.0,25.3
65,2023-12-12 04:59:34.949666+00:00,08B7,687.0,39.0,25.3
66,2023-12-12 05:00:05.925458+00:00,08B7,688.0,39.0,25.3
67,2023-12-12 05:00:36.813653+00:00,08B7,689.0,39.0,25.3
68,2023-12-12 05:01:07.817985+00:00,08B7,688.0,39.0,25.3
69,2023-12-12 05:01:38.848428+00:00,08B7,688.0,39.0,25.3
70,2023-12-12 05:02:10.296291+00:00,08B7,687.0,39.0,25.2
71,2023-12-12 05:02:40.710342+00:00,08B7,688.0,39.2,25.2
72,2023-12-12 05:03:11.562263+00:00,08B7,689.0,39.1,25.2
73,2023-12-12 05:03:42.543357+00:00,08B7,690.0,39.1,25.2
74,2023-12-12 05:04:13.477041+00:00,08B7,689.0,39.1,25.3
75,2023-12-12 05:04:44.442956+00:00,08B7,690.0,39.0,25.3
76,2023-12-12 05:05:15.420235+00:00,08B7,690.0,39.0,25.2
77,2023-12-12 05:05:46.415841+00:00,08B7,691.0,39.0,25.2
78,2023-12-12 05:06:17.329372+00:00,08B7,690.0,39.2,25.2
79,2023-12-12 05:06:48.309574+00:00,08B7,692.0,39.1,25.2
80,2023-12-12 05:07:19.228549+00:00,08B7,692.0,39.1,25.2
81,2023-12-12 05:07:50.221611+00:00,08B7,691.0,39.1,25.2
82,2023-12-12 05:08:21.284295+00:00,08B7,690.0,39.1,25.2
83,2023-12-12 05:08:52.206272+00:00,08B7,689.0,39.1,25.2
84,2023-12-12 05:09:23.169055+00:00,08B7,690.0,39.1,25.2
85,2023-12-12 05:09:54.160289+00:00,08B7,688.0,39.1,25.2
86,2023-12-12 05:10:26.118707+00:00,08B7,688.0,39.1,25.2
87,2023-12-12 05:10:56.120848+00:00,08B7,687.0,39.1,25.2
88,2023-12-12 05:11:27.107623+00:00,08B7,685.0,39.1,25.2
89,2023-12-12 05:11:57.963960+00:00,08B7,685.0,39.0,25.2
90,2023-12-12 05:12:28.908649+00:00,08B7,686.0,39.0,25.2
91,2023-12-12 05:12:59.925806+00:00,08B7,685.0,39.0,25.2
92,2023-12-12 05:13:30.849111+00:00,08B7,684.0,39.0,25.2
93,2023-12-12 05:14:01.875068+00:00,08B7,683.0,39.0,25.2
94,2023-12-12 05:14:32.800533+00:00,08B7,683.0,39.1,25.2
95,2023-12-12 05:15:03.773476+00:00,08B7,682.0,39.0,25.2
96,2023-12-12 05:15:34.756977+00:00,08B7,681.0,39.1,25.2
97,2023-12-12 05:16:05.812225+00:00,08B7,681.0,39.1,25.2
98,2023-12-12 05:16:36.706730+00:00,08B7,685.0,39.0,25.2
99,2023-12-12 05:17:07.731949+00:00,08B7,684.0,39.0,25.2
100,2023-12-12 05:17:38.662856+00:00,08B7,682.0,39.0,25.2
101,2023-12-12 05:18:10.206591+00:00,08B7,681.0,39.0,25.2
102,2023-12-12 05:18:40.612639+00:00,08B7,682.0,39.1,25.2
103,2023-12-12 05:19:11.543846+00:00,08B7,681.0,39.1,25.2
104,2023-12-12 05:19:42.556410+00:00,08B7,683.0,39.0,25.2
105,2023-12-12 05:20:19.035663+00:00,08B7,684.0,39.1,25.2
106,2023-12-12 05:20:49.643431+00:00,08B7,683.0,39.1,25.2
107,2023-12-12 05:21:27.826490+00:00,08B7,681.0,39.1,25.1
108,2023-12-12 05:21:51.578533+00:00,08B7,683.0,39.1,25.2
109,2023-12-12 05:22:22.503361+00:00,08B7,683.0,39.0,25.1
110,2023-12-12 05:22:53.447586+00:00,08B7,683.0,39.1,25.2
111,2023-12-12 05:23:24.780867+00:00,08B7,685.0,39.1,25.1
112,2023-12-12 05:23:55.386190+00:00,08B7,684.0,39.1,25.2
113,2023-12-12 05:24:26.307635+00:00,08B7,685.0,39.2,25.2
114,2023-12-12 05:24:57.337364+00:00,08B7,685.0,39.1,25.2
115,2023-12-12 05:25:28.279277+00:00,08B7,684.0,39.1,25.2
116,2023-12-12 05:25:59.304744+00:00,08B7,683.0,39.0,25.2
117,2023-12-12 05:26:30.750417+00:00,08B7,683.0,38.9,25.3
118,2023-12-12 05:27:01.069641+00:00,08B7,684.0,38.9,25.3
119,2023-12-12 05:27:32.077952+00:00,08B7,684.0,38.9,25.3
120,2023-12-12 05:28:03.101115+00:00,08B7,684.0,38.9,25.3
121,2023-12-12 05:28:33.847223+00:00,08B7,684.0,38.9,25.3
122,2023-12-12 05:29:04.805143+00:00,08B7,683.0,38.9,25.3
123,2023-12-12 05:29:35.876918+00:00,08B7,684.0,38.9,25.3
124,2023-12-12 05:30:07.447691+00:00,08B7,684.0,38.9,25.3
125,2023-12-12 05:30:37.749628+00:00,08B7,684.0,38.9,25.3
