,_time,_measurement,co2,humidity,temperature
0,2023-12-06 05:29:26.836025+00:00,08B7,618.0,28.9,26.1
1,2023-12-06 05:29:57.383544+00:00,08B7,618.0,28.9,26.1
2,2023-12-06 05:30:28.305185+00:00,08B7,619.0,28.9,26.1
3,2023-12-06 05:30:59.232399+00:00,08B7,620.0,28.9,26.1
4,2023-12-06 05:31:30.345990+00:00,08B7,620.0,28.9,26.1
5,2023-12-06 05:32:01.072207+00:00,08B7,620.0,28.8,26.1
6,2023-12-06 05:32:31.979374+00:00,08B7,619.0,28.8,26.1
7,2023-12-06 05:33:02.902912+00:00,08B7,620.0,28.8,26.1
8,2023-12-06 05:33:33.831434+00:00,08B7,620.0,28.8,26.1
9,2023-12-06 05:34:06.464721+00:00,08B7,617.0,28.8,26.1
10,2023-12-06 05:34:36.374549+00:00,08B7,616.0,28.8,26.1
11,2023-12-06 05:35:16.253103+00:00,08B7,619.0,28.8,26.1
12,2023-12-06 05:35:37.436958+00:00,08B7,618.0,28.8,26.1
13,2023-12-06 05:36:08.387528+00:00,08B7,621.0,28.8,26.1
14,2023-12-06 05:36:39.293337+00:00,08B7,621.0,28.7,26.1
15,2023-12-06 05:37:10.211026+00:00,08B7,621.0,28.7,26.1
16,2023-12-06 05:37:41.099971+00:00,08B7,621.0,28.7,26.1
17,2023-12-06 05:38:12.020685+00:00,08B7,619.0,28.8,26.1
18,2023-12-06 05:38:42.943802+00:00,08B7,619.0,28.7,26.1
19,2023-12-06 05:39:13.985721+00:00,08B7,619.0,28.7,26.1
20,2023-12-06 05:39:44.762023+00:00,08B7,621.0,28.8,26.1
21,2023-12-06 05:40:15.767098+00:00,08B7,624.0,28.8,26.1
22,2023-12-06 05:40:46.584060+00:00,08B7,625.0,28.7,26.1
23,2023-12-06 05:41:17.605434+00:00,08B7,625.0,28.7,26.1
24,2023-12-06 05:41:48.430689+00:00,08B7,625.0,28.8,26.1
25,2023-12-06 05:42:19.347191+00:00,08B7,627.0,28.7,26.1
26,2023-12-06 05:42:50.263235+00:00,08B7,628.0,28.7,26.2
