,_time,_measurement,co2,humidity,temperature
217135,2023-12-06 06:07:23.614683+00:00,9CBA,614.0,23.8,27.9
217136,2023-12-06 06:07:54.225052+00:00,9CBA,614.0,23.8,27.9
217137,2023-12-06 06:08:24.766521+00:00,9CBA,615.0,23.8,27.9
217138,2023-12-06 06:08:55.365337+00:00,9CBA,615.0,23.8,27.9
217139,2023-12-06 06:09:34.970622+00:00,9CBA,616.0,23.8,27.9
217140,2023-12-06 06:10:04.901100+00:00,9CBA,616.0,23.8,27.9
217141,2023-12-06 06:10:34.904692+00:00,9CBA,614.0,23.8,27.9
217142,2023-12-06 06:11:06.047428+00:00,9CBA,614.0,23.8,27.9
217143,2023-12-06 06:11:35.923632+00:00,9CBA,613.0,23.8,27.9
217144,2023-12-06 06:12:05.873538+00:00,9CBA,614.0,23.8,27.9
217145,2023-12-06 06:12:35.918019+00:00,9CBA,616.0,23.8,27.9
217146,2023-12-06 06:14:07.600802+00:00,9CBA,617.0,23.9,27.9
217147,2023-12-06 06:14:37.596868+00:00,9CBA,615.0,23.8,27.9
217148,2023-12-06 06:15:10.755327+00:00,9CBA,615.0,23.9,27.9
217149,2023-12-06 06:15:37.788947+00:00,9CBA,615.0,23.9,27.8
217150,2023-12-06 06:16:08.319871+00:00,9CBA,614.0,23.9,27.8
217151,2023-12-06 06:16:38.932296+00:00,9CBA,612.0,23.9,27.8
217152,2023-12-06 06:17:09.841922+00:00,9CBA,612.0,23.9,27.8
217153,2023-12-06 06:17:39.984084+00:00,9CBA,614.0,23.9,27.8
217154,2023-12-06 06:18:10.570284+00:00,9CBA,617.0,23.9,27.8
217155,2023-12-06 06:18:41.178168+00:00,9CBA,618.0,23.9,27.8
217156,2023-12-06 06:19:11.710719+00:00,9CBA,619.0,23.9,27.8
217157,2023-12-06 06:19:42.314562+00:00,9CBA,619.0,23.9,27.8
217158,2023-12-06 06:20:12.792205+00:00,9CBA,621.0,24.0,27.9
217159,2023-12-06 06:20:43.479130+00:00,9CBA,622.0,23.9,27.9
217160,2023-12-06 06:21:13.897291+00:00,9CBA,622.0,23.9,27.9
217161,2023-12-06 06:21:44.577435+00:00,9CBA,621.0,23.9,27.8
217162,2023-12-06 06:22:15.199918+00:00,9CBA,623.0,24.0,27.8
217163,2023-12-06 06:22:46.027808+00:00,9CBA,622.0,23.9,27.8
217164,2023-12-06 06:23:16.640611+00:00,9CBA,623.0,24.0,27.8
217165,2023-12-06 06:23:46.705383+00:00,9CBA,625.0,24.0,27.8
217166,2023-12-06 06:24:17.329666+00:00,9CBA,628.0,24.0,27.8
217167,2023-12-06 06:24:47.851760+00:00,9CBA,627.0,24.0,27.8
217168,2023-12-06 06:25:18.350403+00:00,9CBA,627.0,24.0,27.9
217169,2023-12-06 06:25:48.860948+00:00,9CBA,627.0,24.0,27.9
217170,2023-12-06 06:26:19.630866+00:00,9CBA,627.0,24.0,27.9
217171,2023-12-06 06:26:50.006828+00:00,9CBA,627.0,24.0,27.9
217172,2023-12-06 06:27:21.184593+00:00,9CBA,627.0,24.0,27.9
217173,2023-12-06 06:27:51.146613+00:00,9CBA,629.0,24.0,27.9
217174,2023-12-06 06:28:21.699190+00:00,9CBA,630.0,24.0,27.8
217175,2023-12-06 06:28:52.618129+00:00,9CBA,631.0,24.0,27.8
217176,2023-12-06 06:29:23.175018+00:00,9CBA,631.0,24.0,27.8
217177,2023-12-06 06:29:53.199402+00:00,9CBA,631.0,24.1,27.8
217178,2023-12-06 06:30:23.874041+00:00,9CBA,630.0,24.1,27.8
217179,2023-12-06 06:30:54.598743+00:00,9CBA,628.0,24.1,27.8
217180,2023-12-06 06:31:24.795468+00:00,9CBA,627.0,24.1,27.8
217181,2023-12-06 06:31:55.323551+00:00,9CBA,625.0,24.1,27.8
217182,2023-12-06 06:32:25.940309+00:00,9CBA,626.0,24.1,27.8
217183,2023-12-06 06:32:56.905732+00:00,9CBA,627.0,24.1,27.8
217184,2023-12-06 06:33:27.361692+00:00,9CBA,628.0,24.1,27.8
217185,2023-12-06 06:33:57.471830+00:00,9CBA,629.0,24.1,27.8
217186,2023-12-06 06:34:27.985801+00:00,9CBA,629.0,24.1,27.8
217187,2023-12-06 06:34:59.175555+00:00,9CBA,630.0,24.1,27.8
217188,2023-12-06 06:35:29.669379+00:00,9CBA,630.0,24.2,27.8
217189,2023-12-06 06:36:30.268985+00:00,9CBA,630.0,24.2,27.8
217190,2023-12-06 06:37:00.786187+00:00,9CBA,630.0,24.2,27.8
217191,2023-12-06 06:37:31.843742+00:00,9CBA,629.0,24.2,27.8
217192,2023-12-06 06:38:01.839510+00:00,9CBA,627.0,24.2,27.8
217193,2023-12-06 06:38:32.331892+00:00,9CBA,628.0,24.2,27.8
217194,2023-12-06 06:39:03.795925+00:00,9CBA,629.0,24.2,27.7
217195,2023-12-06 06:39:33.899489+00:00,9CBA,627.0,24.3,27.7
217196,2023-12-06 06:40:03.970000+00:00,9CBA,626.0,24.3,27.7
217197,2023-12-06 06:40:34.486861+00:00,9CBA,626.0,24.3,27.7
217198,2023-12-06 06:41:06.501988+00:00,9CBA,627.0,24.3,27.7
217199,2023-12-06 06:41:36.228296+00:00,9CBA,627.0,24.3,27.7
217200,2023-12-06 06:42:06.393009+00:00,9CBA,627.0,24.3,27.7
217201,2023-12-06 06:42:37.695224+00:00,9CBA,626.0,24.3,27.7
217202,2023-12-06 06:43:07.709244+00:00,9CBA,625.0,24.3,27.7
217203,2023-12-06 06:43:37.780648+00:00,9CBA,624.0,24.3,27.7
217204,2023-12-06 06:44:08.325593+00:00,9CBA,624.0,24.3,27.7
217205,2023-12-06 06:44:39.012377+00:00,9CBA,623.0,24.3,27.7
217206,2023-12-06 06:45:09.599634+00:00,9CBA,624.0,24.3,27.7
217207,2023-12-06 06:45:40.272670+00:00,9CBA,626.0,24.4,27.7
217208,2023-12-06 06:46:10.725543+00:00,9CBA,626.0,24.4,27.7
217209,2023-12-06 06:46:41.589181+00:00,9CBA,624.0,24.4,27.7
217210,2023-12-06 06:47:12.139296+00:00,9CBA,625.0,24.4,27.6
217211,2023-12-06 06:47:42.145816+00:00,9CBA,626.0,24.4,27.6
217212,2023-12-06 06:48:12.645924+00:00,9CBA,627.0,24.4,27.6
217213,2023-12-06 06:48:43.176601+00:00,9CBA,628.0,24.4,27.7
217214,2023-12-06 06:49:13.681381+00:00,9CBA,627.0,24.4,27.7
217215,2023-12-06 06:49:44.266148+00:00,9CBA,627.0,24.4,27.7
217216,2023-12-06 06:50:15.156697+00:00,9CBA,627.0,24.4,27.6
217217,2023-12-06 06:50:45.504994+00:00,9CBA,627.0,24.4,27.6
217218,2023-12-06 06:51:17.451792+00:00,9CBA,627.0,24.5,27.6
217219,2023-12-06 06:51:47.565303+00:00,9CBA,628.0,24.4,27.6
217220,2023-12-06 06:52:17.512404+00:00,9CBA,628.0,24.4,27.7
217221,2023-12-06 06:52:47.632114+00:00,9CBA,627.0,24.4,27.7
217222,2023-12-06 06:53:18.187429+00:00,9CBA,627.0,24.4,27.7
217223,2023-12-06 06:53:48.728471+00:00,9CBA,625.0,24.4,27.7
217224,2023-12-06 06:54:19.315181+00:00,9CBA,626.0,24.4,27.7
217225,2023-12-06 06:54:49.997217+00:00,9CBA,626.0,24.4,27.7
217226,2023-12-06 06:55:23.665813+00:00,9CBA,627.0,24.4,27.6
217227,2023-12-06 06:55:53.747891+00:00,9CBA,627.0,24.4,27.6
217228,2023-12-06 06:56:23.673161+00:00,9CBA,626.0,24.4,27.6
217229,2023-12-06 06:56:53.660309+00:00,9CBA,628.0,24.4,27.6
217230,2023-12-06 06:57:23.678357+00:00,9CBA,628.0,24.5,27.6
217231,2023-12-06 06:57:53.752837+00:00,9CBA,628.0,24.5,27.7
217232,2023-12-06 06:58:23.758477+00:00,9CBA,627.0,24.4,27.6
217233,2023-12-06 06:58:54.336149+00:00,9CBA,627.0,24.5,27.6
217234,2023-12-06 06:59:24.899292+00:00,9CBA,628.0,24.4,27.6
217235,2023-12-06 06:59:55.439531+00:00,9CBA,627.0,24.5,27.6
217236,2023-12-06 07:00:26.031370+00:00,9CBA,625.0,24.5,27.6
217237,2023-12-06 07:00:57.307184+00:00,9CBA,624.0,24.4,27.6
217238,2023-12-06 07:01:27.413089+00:00,9CBA,624.0,24.5,27.6
217239,2023-12-06 07:01:57.873408+00:00,9CBA,624.0,24.5,27.6
217240,2023-12-06 07:02:28.287792+00:00,9CBA,624.0,24.5,27.6
217241,2023-12-06 07:02:59.263983+00:00,9CBA,623.0,24.5,27.7
217242,2023-12-06 07:03:29.343402+00:00,9CBA,624.0,24.4,27.7
217243,2023-12-06 07:04:00.667203+00:00,9CBA,624.0,24.5,27.7
217244,2023-12-06 07:04:30.609484+00:00,9CBA,624.0,24.5,27.7
217245,2023-12-06 07:05:39.668870+00:00,9CBA,625.0,24.4,27.7
217246,2023-12-06 07:06:09.715636+00:00,9CBA,624.0,24.4,27.7
217247,2023-12-06 07:06:39.696519+00:00,9CBA,625.0,24.4,27.7
217248,2023-12-06 07:07:10.950427+00:00,9CBA,625.0,24.5,27.7
217249,2023-12-06 07:07:39.685999+00:00,9CBA,624.0,24.5,27.7
217250,2023-12-06 07:08:09.693431+00:00,9CBA,625.0,24.5,27.7
217251,2023-12-06 07:08:39.930807+00:00,9CBA,624.0,24.5,27.7
217252,2023-12-06 07:09:12.905687+00:00,9CBA,624.0,24.5,27.7
217253,2023-12-06 07:09:42.923711+00:00,9CBA,623.0,24.5,27.7
217254,2023-12-06 07:10:12.907768+00:00,9CBA,622.0,24.5,27.7
217255,2023-12-06 07:10:42.908843+00:00,9CBA,621.0,24.5,27.7
217256,2023-12-06 07:11:12.913001+00:00,9CBA,620.0,24.5,27.7
217257,2023-12-06 07:11:43.252757+00:00,9CBA,622.0,24.6,27.7
217258,2023-12-06 07:12:13.741366+00:00,9CBA,623.0,24.5,27.7
217259,2023-12-06 07:12:46.171680+00:00,9CBA,624.0,24.5,27.7
217260,2023-12-06 07:13:14.848101+00:00,9CBA,626.0,24.6,27.7
217261,2023-12-06 07:13:45.411711+00:00,9CBA,626.0,24.6,27.7
217262,2023-12-06 07:14:16.298198+00:00,9CBA,625.0,24.6,27.7
217263,2023-12-06 07:14:46.543983+00:00,9CBA,624.0,24.6,27.7
217264,2023-12-06 07:15:17.012399+00:00,9CBA,623.0,24.7,27.7
217265,2023-12-06 07:15:47.566731+00:00,9CBA,622.0,24.7,27.7
217266,2023-12-06 07:16:19.168116+00:00,9CBA,622.0,24.7,27.7
217267,2023-12-06 07:16:49.179919+00:00,9CBA,622.0,24.8,27.7
217268,2023-12-06 07:17:19.273676+00:00,9CBA,623.0,24.8,27.7
217269,2023-12-06 07:17:49.798371+00:00,9CBA,622.0,24.8,27.7
217270,2023-12-06 07:18:20.503178+00:00,9CBA,621.0,24.9,27.7
217271,2023-12-06 07:18:51.027748+00:00,9CBA,622.0,24.9,27.6
217272,2023-12-06 07:19:22.406201+00:00,9CBA,622.0,24.9,27.6
217273,2023-12-06 07:19:52.331615+00:00,9CBA,625.0,25.0,27.6
217274,2023-12-06 07:20:22.514771+00:00,9CBA,625.0,25.0,27.7
217275,2023-12-06 07:20:53.091787+00:00,9CBA,626.0,25.0,27.7
217276,2023-12-06 07:21:23.756282+00:00,9CBA,625.0,25.0,27.7
217277,2023-12-06 07:21:55.163544+00:00,9CBA,624.0,25.1,27.7
217278,2023-12-06 07:22:24.796063+00:00,9CBA,623.0,25.1,27.7
217279,2023-12-06 07:22:55.413164+00:00,9CBA,622.0,25.1,27.7
217280,2023-12-06 07:23:26.845136+00:00,9CBA,621.0,25.1,27.7
217281,2023-12-06 07:23:56.685531+00:00,9CBA,620.0,25.2,27.7
217282,2023-12-06 07:24:26.964175+00:00,9CBA,621.0,25.2,27.7
217283,2023-12-06 07:24:57.568780+00:00,9CBA,621.0,25.2,27.7
217284,2023-12-06 07:25:28.292826+00:00,9CBA,619.0,25.2,27.7
217285,2023-12-06 07:25:59.712510+00:00,9CBA,618.0,25.3,27.7
217286,2023-12-06 07:26:30.206074+00:00,9CBA,618.0,25.3,27.7
217287,2023-12-06 07:26:59.785160+00:00,9CBA,618.0,25.3,27.7
217288,2023-12-06 07:27:31.960763+00:00,9CBA,617.0,25.4,27.7
217289,2023-12-06 07:28:01.936942+00:00,9CBA,615.0,25.4,27.7
217290,2023-12-06 07:28:31.940967+00:00,9CBA,615.0,25.4,27.7
217291,2023-12-06 07:29:02.372349+00:00,9CBA,616.0,25.5,27.7
217292,2023-12-06 07:29:32.512560+00:00,9CBA,616.0,25.5,27.7
217293,2023-12-06 07:30:03.333903+00:00,9CBA,615.0,25.5,27.6
217294,2023-12-06 07:30:34.465721+00:00,9CBA,615.0,25.6,27.6
217295,2023-12-06 07:31:04.266778+00:00,9CBA,615.0,25.6,27.6
217296,2023-12-06 07:31:34.778529+00:00,9CBA,613.0,25.6,27.6
217297,2023-12-06 07:32:05.549401+00:00,9CBA,612.0,25.7,27.6
